Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J061231+855604,06:12:31.33,+85:56:04.2,P,0.2153049295385912,0.0162169272665111,0.1618346832300679,0.0149532971840821,0.1505955600621381,0.0083968241740137,0.1633160606298829,0.0195895807472819,0.1984603155164059,0.0128924025289891,-0.2660671471620109,0.1834087558993284
21CMA-DDR1-J065228+854921,06:52:28.37,+85:49:20.8,P,0.0975560262970332,0.0220772881917366,0.1066334872935688,0.0216962345440004,0.0818718693668364,0.0143182361128066,0.1095430111357723,0.0216518251186263,0.1119042382876942,0.0228595620447328,0.1866390897268361,0.5361531232837669
21CMA-DDR1-J055130+855645,05:51:29.54,+85:56:44.8,P,0.1047629462037218,0.0302915289239781,0.0996639901730981,0.0258031887848207,0.0740794349760791,0.0118991036321853,0.0991266208657713,0.0240596805385399,0.098734531991101,0.0175356766829749,-0.0734082408187333,0.6170696067307405
21CMA-DDR1-J052940+855531,05:29:40.22,+85:55:31.4,P,0.8925262610723917,0.0331489813011085,0.6029001403295807,0.0223996955306877,0.5438759605231956,0.0164791166129011,0.6212786928841721,0.0244996039836326,0.7950549937381968,0.0447018319554123,-0.6989586591747796,0.1001770117679318
21CMA-DDR1-J054337+855701,05:43:36.99,+85:57:01.0,P,0.2570315718303357,0.0218458506176847,0.2303126735964173,0.01334063623055,0.222206951219914,0.0146265606133719,0.2384502244074964,0.0152285117509489,0.2935891928866581,0.0247802681512798,0.0914900118019417,0.2004517634606244
21CMA-DDR1-J070232+854955,07:02:31.55,+85:49:54.9,P,,,0.0819312017923076,0.0263899975754641,0.0869354251306042,0.0194986518163289,0.1040887797661151,0.023021897392881,0.104337437925225,0.0230721596689458,1.0985600382475282,1.4028397960686405
21CMA-DDR1-J045417+855013,04:54:16.94,+85:50:13.3,P,0.2032149725362555,0.0335091972610184,0.1627640848848006,0.0182875714467853,0.1540222552186904,0.0115694972284398,0.1558700591886242,0.0142752588810127,0.1811868427957596,0.0117032242341831,-0.0069823461713092,0.2974337746713741
21CMA-DDR1-J051608+855541,05:16:07.93,+85:55:41.2,P,0.2501747708676147,0.0477192494688921,0.2551169885299119,0.052774750819549,0.1836518746075982,0.017132513054807,0.2463576555225069,0.037799785706564,0.2629794776285981,0.033928766850978,0.0913092880786746,0.4207480482678704
21CMA-DDR1-J050047+855257,05:00:47.01,+85:52:56.9,P,,,,,0.0523341548918281,0.0140789595308164,0.0559236445937937,0.0138541843943903,0.0640552892546428,0.0180963392505686,1.2439910885372258,2.429290216451215
21CMA-DDR1-J045518+855315,04:55:18.12,+85:53:15.2,P,0.5909234012076626,0.0317508937047271,0.3631943484013635,0.0198625573957236,0.3516763739683271,0.0131116475278489,0.3785253648572573,0.0183504858344033,0.4072426707126433,0.0153152154007295,-0.6624448284063916,0.1199510574370251
21CMA-DDR1-J072714+854521,07:27:13.66,+85:45:21.0,P,1.963263162895741,0.1045641480026639,1.1376670066426366,0.0329823080715857,1.0650340769590485,0.0324246694409238,0.8899273066704454,0.0282360234448366,0.8232209824268794,0.0260778924964546,-1.5904185796467372,0.1061238727568584
21CMA-DDR1-J052056+860049,05:20:55.88,+86:00:48.8,P,2.961444267880378,0.0880342205082475,2.0322617981584035,0.043204063983849,1.8567823293258885,0.029818219166014,2.0232656331176613,0.0417904038636811,2.2273464184935667,0.0367442362751775,-0.3869286350564587,0.0602079093639959
21CMA-DDR1-J042912+854425,04:29:12.21,+85:44:24.7,P,0.3598507475543925,0.0514480948264585,0.3366837458782088,0.0176553975736834,0.3411283215887676,0.0145625536712504,0.3430500199283314,0.0252966368723218,0.401865845734407,0.0355057291897752,0.2289439787428757,0.2687146817094584
21CMA-DDR1-J053507+860517,05:35:07.37,+86:05:16.7,P,0.5865284308082318,0.0218249560880019,0.4082172396508559,0.0162012894309292,0.3750409863954053,0.0110973206133068,0.4189807637712236,0.0120296056321128,0.4458666732202886,0.0135422234643769,-0.5452279283288716,0.0856692625755515
21CMA-DDR1-J080101+853115,08:01:00.82,+85:31:15.3,P,1.1682338735454807,0.0310439577619816,0.7990632268875234,0.0230709206938518,0.7581255604062108,0.0283791302375604,0.7123968012522932,0.0271713154064389,0.7447898382533956,0.0237855786345607,-0.9533454945706764,0.0719769757482546
21CMA-DDR1-J042237+854825,04:22:37.02,+85:48:25.1,P,1.8629289439720893,0.0838425164309096,1.4391734996233536,0.0234727058594079,1.407560846019496,0.0216144233136846,1.49395800441854,0.0291888543934908,1.5278524729743677,0.0279188795187983,-0.0701607227974173,0.0727185940096864
21CMA-DDR1-J043108+855157,04:31:07.68,+85:51:56.6,P,,,,,0.0668911290519842,0.0205179223620572,0.0564887051638843,0.0165266376717468,0.0693958868688155,0.0192179320131908,0.2776528238407735,2.5756712343130768
21CMA-DDR1-J062725+860954,06:27:24.92,+86:09:53.6,P,0.1135506298787539,0.0236987486467678,0.1116420768721455,0.0206517321836271,0.1011953687519721,0.0187171065467494,0.09457166476504,0.0189256921091701,0.1025393680927463,0.0112172216949507,-0.2374683771071296,0.4271319651153076
21CMA-DDR1-J070034+860331,07:00:33.96,+86:03:31.4,P,,,,,0.0756416871230099,0.0215216927466807,0.092840642876755,0.0267551377729232,0.0944146352939857,0.025735177516343,1.3815875309074346,2.457347435411065
21CMA-DDR1-J050426+860528,05:04:25.85,+86:05:28.0,P,,,0.0697634223830842,0.0148548471093409,0.0685469374761038,0.0141379645526685,0.0810095881991849,0.0156103396421772,0.0910167215140793,0.014134456381303,1.195603143073049,0.9903766758902156
21CMA-DDR1-J074221+854759,07:42:21.50,+85:47:58.6,P,0.213565331474384,0.0216245216832791,0.1699395022061322,0.0118919005849835,0.1758071960776867,0.031201233795037,0.1507827284176391,0.0163738927958555,0.1697711843524587,0.0151993056033181,-0.4885058693492348,0.2425321430462658
21CMA-DDR1-J070247+860523,07:02:46.90,+86:05:22.8,P,2.0837862929213684,0.0744232238680133,1.4204633562885272,0.0275660175008684,1.3199328730578,0.0232869486052562,1.435153575266463,0.0318826466516212,1.4767024189332594,0.0297225707449951,-0.4567026040010226,0.0702491916309432
21CMA-DDR1-J071626+860140,07:16:25.94,+86:01:39.5,P,,,0.0852260574004902,0.0200846437060899,0.0892683229163145,0.0278526370952192,0.0989577329651138,0.0228791486110765,0.0939818231260611,0.0203073724013995,0.4595548047109251,1.2262087618247
21CMA-DDR1-J055817+861536,05:58:17.46,+86:15:35.8,P,0.0998265267713408,0.0203489764134159,0.0935605032108289,0.0143242793440502,0.0956637519062919,0.0161757026249139,0.0907553384460877,0.0179042461954967,0.0881379347373764,0.0122558757293605,-0.228829944445742,0.4470196949226147
21CMA-DDR1-J061610+861534,06:16:09.85,+86:15:34.1,P,0.5674349846145986,0.0197458297250625,0.4323876786785322,0.0157397206452175,0.4027533671851774,0.0120118622312321,0.4363589615329754,0.0166757321104913,0.441499535926324,0.0126594067550018,-0.4889845251587528,0.0821709026904066
21CMA-DDR1-J072700+855838,07:26:59.51,+85:58:37.6,P,0.177384150835395,0.0302164176215449,0.1574220360744134,0.0184471166655771,0.1423216288233056,0.0174354884158195,0.1612219592466367,0.0173561385827688,0.1388063673225888,0.0167680628535416,-0.36408980956097,0.3651406861099245
21CMA-DDR1-J061052+861717,06:10:52.37,+86:17:17.1,P,,,,,0.0596267509632667,0.0178890821970496,0.0709604138724318,0.0194771800152862,0.0619054030467912,0.0136759193190696,0.0767072938941016,2.2991771140436508
