Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J214509+854915,21:45:09.25,+85:49:15.3,P,0.0673283028087614,0.0177981422999247,0.0755407313155175,0.0172448439418478,0.0749308322337535,0.016403307178034,0.0750969420818806,0.0137171630945683,0.0576303551063386,0.0149777605125363,-0.0712364845122578,0.6214385665513558
21CMA-DDR1-J194729+872335,19:47:28.51,+87:23:35.1,P,0.0708474896169611,0.0224927804375683,0.0934309949211938,0.0289309718097229,0.0778308993559323,0.018101016315791,0.0588861254345684,0.0102241200877064,0.0597010131757183,0.0080719829254666,-0.6336557583198931,0.614923811481037
21CMA-DDR1-J160019+871831,16:00:18.97,+87:18:30.6,P,0.0803126235065928,0.0152878625043325,0.0672172414768908,0.0129952797168727,0.0592608335127053,0.0063995310410228,0.0587123790459746,0.0077475350083536,0.0673462204516802,0.0060997879882114,-0.2725593583469639,0.3794004129635074
21CMA-DDR1-J163252+872857,16:32:52.12,+87:28:57.3,P,0.0599093346256836,0.0108798099656861,0.0727462686956291,0.0059963085576848,0.0724616367391714,0.006636151854712,0.0739618465352024,0.0076064928378337,0.0670415935978455,0.0048773041651205,0.0262774414979005,0.3101037997798532
21CMA-DDR1-J173714+873822,17:37:14.30,+87:38:22.5,P,0.3628489401293618,0.0089077319464827,0.2829162238091922,0.0089328511388005,0.274481628755737,0.0078735817022845,0.2573732977541604,0.0079917246312622,0.2548596193150855,0.009098097902262,-0.72385370300143,0.0684223487042335
21CMA-DDR1-J200410+871524,20:04:09.84,+87:15:24.2,P,,,0.0554746603161442,0.0136620879789241,0.0502570301629537,0.0102029657740071,0.0440118188156327,0.0079386166799762,0.0441869902450545,0.004793081561255,-0.8522993914369805,0.9300715130955606
21CMA-DDR1-J195227+872022,19:52:26.97,+87:20:22.0,P,0.0685763206200763,0.0165831667121997,0.0701869278602067,0.0202905569876537,0.0542128553623432,0.0154071900469154,0.0432309745791471,0.0108136054881714,0.038153986501903,0.0080829899107869,-1.1561534950559744,0.5808910233937996
21CMA-DDR1-J211957+861909,21:19:56.71,+86:19:09.5,P,0.2193464512037261,0.0162575147493902,0.1559142513645239,0.0121733580024836,0.1593985330341502,0.0113651882012285,0.128232386225447,0.0100963696814523,0.1155536917492532,0.0078709150532986,-1.1876395805488944,0.1801522101577755
21CMA-DDR1-J193218+872518,19:32:18.40,+87:25:18.3,P,0.1183690325484765,0.0090083897350552,0.0939763369643101,0.0051446797069163,0.0854789302263549,0.004937157660485,0.0827485460109025,0.0047891323431854,0.0796510808989705,0.0035408653686979,-0.7449168449102102,0.1571730822160466
21CMA-DDR1-J202527+870254,20:25:27.00,+87:02:53.5,P,0.0522848271393893,0.0101019280047344,0.0597925397279531,0.0105579479489729,0.0542424044690278,0.0061063583395368,0.0537260445867468,0.0052413942136207,0.0497103662523428,0.0045828638040464,-0.1843986200670351,0.3799834038947129
